City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Saint-Philippe,RE,74.79,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
7,Port Alfred,ZA,66.16,light rain,-33.5906,26.891,The Halyards Hotel
10,Atuona,PF,77.81,clear sky,-9.8,-139.0333,Villa Enata
11,North Bend,US,60.85,scattered clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
12,Inongo,CD,77.47,overcast clouds,-1.95,18.2667,Hotel Du Lac
14,Castro,BR,60.73,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
15,East London,ZA,68.77,broken clouds,-33.0153,27.9116,Tu Casa
16,The Valley,AI,78.66,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
18,Te Anau,NZ,66.42,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
19,San Jose,US,71.11,scattered clouds,37.3394,-121.895,The Westin San Jose
20,Rikitea,PF,78.17,overcast clouds,-23.1203,-134.9692,People ThankYou
21,Lebu,CL,63.45,clear sky,-37.6167,-73.65,Hostal Las Lilas
22,Allapalli,IN,52.38,clear sky,19.4167,80.0667,"Hotel IK Residency, GUEST HOUSE AC NON AC"
24,Bengkulu,ID,75.81,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
25,Mataura,NZ,71.31,overcast clouds,-46.1927,168.8643,Ellie's Villa
26,Rocha,UY,61.95,clear sky,-34.4833,-54.3333,Hotel Arrarte
27,Paoua,CF,68.49,broken clouds,7.2427,16.4406,Quartier Paoua Elien
29,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
33,Reconquista,AR,79.56,clear sky,-29.15,-59.65,Grand Hotel
34,Mecca,SA,63.99,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
35,Cuenca,EC,64.53,broken clouds,-2.8833,-78.9833,Hotel Cuenca
36,Hobart,AU,66.27,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
37,Ushuaia,AR,64.06,scattered clouds,-54.8,-68.3,Albatross Hotel
38,Dingle,PH,76.08,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
39,Chapada Dos Guimaraes,BR,74.86,overcast clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
41,Guerrero Negro,MX,73.02,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
42,Ancud,CL,76.53,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
43,Victoria,HK,65.32,broken clouds,22.2855,114.1577,Mini Hotel Central
44,Nabire,ID,78.82,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
45,Saint George,US,61.27,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
46,Mar Del Plata,AR,71.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
56,Najran,SA,54.25,clear sky,17.4924,44.1277,محمد هادي ال فطيح
57,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
59,New Norfolk,AU,65.91,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
