City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hithadhoo,MV,-0.6,73.0833,80.24,65,60,7.0,broken clouds
1,Bowen,AU,-20.0167,148.2333,80.82,73,36,17.92,scattered clouds
2,Saint-Philippe,RE,-21.3585,55.7679,74.79,74,8,5.68,clear sky
3,Caceres,ES,39.522,-6.3748,42.8,41,0,8.68,clear sky
4,Kapaa,US,22.0752,-159.319,81.12,71,7,1.99,clear sky
5,Airai,TL,-8.9266,125.4092,62.82,87,100,3.33,overcast clouds
6,Huayucachi,PE,-12.1333,-75.2333,49.39,92,100,0.38,heavy intensity rain
7,Port Alfred,ZA,-33.5906,26.891,66.16,80,17,9.26,light rain
8,Yellowknife,CA,62.456,-114.3525,0.41,88,75,11.5,light snow
9,Kharp,RU,66.8014,65.8081,6.24,91,100,5.35,overcast clouds
10,Atuona,PF,-9.8,-139.0333,77.81,71,9,14.16,clear sky
11,North Bend,US,43.4065,-124.2243,60.85,88,30,1.9,scattered clouds
12,Inongo,CD,-1.95,18.2667,77.47,63,100,2.26,overcast clouds
13,Kodiak,US,57.79,-152.4072,23.77,87,100,12.62,light snow
14,Castro,BR,-24.7911,-50.0119,60.73,99,100,7.76,overcast clouds
15,East London,ZA,-33.0153,27.9116,68.77,77,52,11.68,broken clouds
16,The Valley,AI,18.217,-63.0578,78.66,68,1,14.03,clear sky
17,Lorengau,PG,-2.0226,147.2712,81.57,82,100,5.06,overcast clouds
18,Te Anau,NZ,-45.4167,167.7167,66.42,48,58,6.29,broken clouds
19,San Jose,US,37.3394,-121.895,71.11,36,40,1.01,scattered clouds
20,Rikitea,PF,-23.1203,-134.9692,78.17,69,100,14.7,overcast clouds
21,Lebu,CL,-37.6167,-73.65,63.45,79,2,5.3,clear sky
22,Allapalli,IN,19.4167,80.0667,52.38,49,6,2.64,clear sky
23,Dali,CN,25.7,100.1833,35.87,89,3,3.74,clear sky
24,Bengkulu,ID,-3.8004,102.2655,75.81,87,100,3.51,overcast clouds
25,Mataura,NZ,-46.1927,168.8643,71.31,35,96,4.99,overcast clouds
26,Rocha,UY,-34.4833,-54.3333,61.95,76,6,5.39,clear sky
27,Paoua,CF,7.2427,16.4406,68.49,23,61,4.34,broken clouds
28,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.01,75,96,12.19,moderate rain
29,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,94,75,3.44,broken clouds
30,Albany,US,42.6001,-73.9662,27.75,82,100,7.29,overcast clouds
31,Bethel,US,41.3712,-73.414,30.49,86,100,3.74,overcast clouds
32,Butaritari,KI,3.0707,172.7902,81.88,79,56,17.09,light rain
33,Reconquista,AR,-29.15,-59.65,79.56,32,0,7.11,clear sky
34,Mecca,SA,21.4267,39.8261,63.99,51,1,6.33,clear sky
35,Cuenca,EC,-2.8833,-78.9833,64.53,72,75,11.5,broken clouds
36,Hobart,AU,-42.8794,147.3294,66.27,78,75,1.01,broken clouds
37,Ushuaia,AR,-54.8,-68.3,64.06,48,40,2.3,scattered clouds
38,Dingle,PH,10.9995,122.6711,76.08,89,33,4.32,scattered clouds
39,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,74.86,94,100,3.51,overcast clouds
40,Jamestown,US,42.097,-79.2353,18.09,49,100,5.99,overcast clouds
41,Guerrero Negro,MX,27.9769,-114.0611,73.02,24,26,5.73,scattered clouds
42,Ancud,CL,-41.8697,-73.8203,76.53,67,0,8.3,clear sky
43,Victoria,HK,22.2855,114.1577,65.32,92,81,10.98,broken clouds
44,Nabire,ID,-3.3667,135.4833,78.82,84,99,2.42,overcast clouds
45,Saint George,US,37.1041,-113.5841,61.27,14,0,1.01,clear sky
46,Mar Del Plata,AR,-38.0023,-57.5575,71.62,72,0,20.0,clear sky
47,San Buenaventura,MX,27.0833,-101.5333,47.48,44,80,2.37,broken clouds
48,Puerto Ayora,EC,-0.7393,-90.3518,80.56,79,66,8.66,broken clouds
49,Goderich,CA,43.7501,-81.7165,8.91,66,51,8.05,broken clouds
50,Wattegama,LK,6.7989,81.4808,70.36,94,5,3.13,clear sky
51,Broome,US,42.2506,-75.833,21.36,80,100,3.0,mist
52,Narsaq,GL,60.9167,-46.05,15.93,95,100,7.07,snow
53,Nioro,GM,13.35,-15.75,75.78,37,59,8.61,broken clouds
54,Macomb,US,40.4592,-90.6718,21.27,50,0,8.01,clear sky
55,Chateauroux,FR,46.8167,1.7,36.55,100,100,3.44,mist
56,Najran,SA,17.4924,44.1277,54.25,26,5,3.67,clear sky
57,Bambous Virieux,MU,-20.3428,57.7575,79.05,89,40,1.14,light rain
58,Makat,KZ,47.6469,53.3463,25.66,95,98,13.87,overcast clouds
59,New Norfolk,AU,-42.7826,147.0587,65.91,60,98,3.0,overcast clouds
60,Vaini,TO,-21.2,-175.2,82.47,79,97,19.13,overcast clouds
61,Ottersberg,DE,53.1,9.15,43.02,87,100,14.38,overcast clouds
62,Port Hedland,AU,-20.3167,118.5667,80.65,74,75,11.5,light rain
63,Caravelas,BR,-17.7125,-39.2481,77.79,80,4,7.99,clear sky
64,Olafsvik,IS,64.8945,-23.7142,23.2,66,67,17.69,broken clouds
65,Pontal Do Parana,BR,-25.6533,-48.5128,74.41,95,100,9.82,overcast clouds
66,Avarua,CK,-21.2078,-159.775,84.25,74,20,14.97,few clouds
67,Darhan,MN,49.4867,105.9228,-16.24,100,69,1.99,broken clouds
68,Dikson,RU,73.5069,80.5464,3.31,94,100,18.45,overcast clouds
69,Nanortalik,GL,60.1432,-45.2371,25.66,90,100,8.7,light snow
70,Grand Forks,US,47.9417,-97.4337,11.88,85,100,4.61,overcast clouds
71,Salalah,OM,17.0151,54.0924,70.12,47,62,5.73,broken clouds
72,Trelew,AR,-43.249,-65.3051,74.59,54,12,19.98,few clouds
73,Angoram,PG,-4.0625,144.0661,75.92,97,100,4.68,overcast clouds
74,Yangjiang,CN,21.85,111.9667,62.26,94,14,3.94,few clouds
75,Dongsheng,CN,39.8161,109.9776,16.7,47,0,5.12,clear sky
76,Xam Nua,LA,20.4197,104.0439,56.16,95,58,2.57,broken clouds
77,La Ronge,CA,55.1001,-105.2842,10.65,79,100,11.5,overcast clouds
78,Grindavik,IS,63.8424,-22.4338,23.47,68,75,25.32,broken clouds
79,Chokurdakh,RU,70.6333,147.9167,-30.6,96,95,1.45,overcast clouds
80,Hounde,BF,11.5,-3.5167,77.59,16,7,5.93,clear sky
81,Punta Arenas,CL,-53.15,-70.9167,71.71,20,0,13.8,clear sky
82,Lasa,IT,46.6166,10.7002,31.37,62,45,7.94,scattered clouds
83,Ponta Do Sol,PT,32.6667,-17.1,61.72,63,73,6.93,broken clouds
84,Lagoa,PT,39.05,-27.9833,57.69,58,73,10.83,broken clouds
85,Port Hardy,CA,50.6996,-127.4199,46.76,76,75,8.05,broken clouds
86,Carballo,ES,43.213,-8.691,46.76,90,0,3.8,clear sky
87,Georgetown,MY,5.4112,100.3354,80.89,91,20,1.01,few clouds
88,Hilo,US,19.7297,-155.09,79.25,82,17,8.01,few clouds
89,Bredasdorp,ZA,-34.5322,20.0403,63.72,72,71,6.91,broken clouds
90,Ballarat,AU,-37.5662,143.8496,62.15,84,91,7.83,overcast clouds
91,Carnarvon,AU,-24.8667,113.6333,69.87,94,0,5.75,clear sky
92,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,76,75,17.27,broken clouds
93,Busselton,AU,-33.65,115.3333,68.04,57,27,8.39,scattered clouds
94,Gusau,NG,12.1628,6.6614,68.68,20,2,13.6,clear sky
95,Faanui,PF,-16.4833,-151.75,81.1,75,9,15.66,light rain
96,Cape Town,ZA,-33.9258,18.4232,67.26,72,0,5.01,clear sky
97,San Quintin,MX,30.4833,-115.95,66.81,34,95,7.07,overcast clouds
98,Manicore,BR,-5.8092,-61.3003,73.51,96,100,2.68,light rain
99,Gornozavodsk,RU,58.3758,58.3211,-1.91,100,100,2.01,overcast clouds
100,Oranjemund,NA,-28.55,16.4333,63.9,86,44,17.16,scattered clouds
101,Khatanga,RU,71.9667,102.5,-1.89,87,100,5.1,overcast clouds
102,Sassandra,CI,4.95,-6.0833,78.85,85,66,5.48,broken clouds
103,Sitka,US,57.0531,-135.33,39.61,98,100,6.17,moderate rain
104,Bilibino,RU,68.0546,166.4372,-9.47,97,100,4.21,overcast clouds
105,Fairbanks,US,64.8378,-147.7164,-3.44,89,100,4.52,overcast clouds
106,Hermanus,ZA,-34.4187,19.2345,62.8,77,0,11.45,clear sky
107,Port Elizabeth,ZA,-33.918,25.5701,66.09,82,75,12.66,broken clouds
108,Vao,NC,-22.6667,167.4833,78.4,83,100,22.21,light rain
109,Nishihara,JP,26.1842,127.7558,64.45,97,100,5.75,mist
110,Weymouth,US,42.2209,-70.9398,33.89,68,100,3.44,overcast clouds
111,Kavaratti,IN,10.5669,72.642,80.49,72,20,10.2,few clouds
112,Anadyr,RU,64.75,177.4833,-5.01,83,99,2.24,fog
113,Constitucion,CL,-35.3333,-72.4167,62.1,79,0,8.72,clear sky
